Temperature,Condition,Source URL,Humidity,Wind Speed,Barometer,Dewpoint,Visibility,Wind Chill,Last update,ZIP Code,Latitude,Longitude,Fetched At,Vegetation Estimate,Dryness Score,Dryness Level
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8858&lon=-87.6181,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60601,41.8858,-87.6181,2025-04-05 17:16:40,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8829&lon=-87.6321,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60602,41.8829,-87.6321,2025-04-05 17:16:41,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8798&lon=-87.6285,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60603,41.8798,-87.6285,2025-04-05 17:16:42,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8785&lon=-87.633,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60604,41.8785,-87.633,2025-04-05 17:16:42,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8713&lon=-87.6277,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60605,41.8713,-87.6277,2025-04-05 17:16:43,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8868&lon=-87.6386,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60606,41.8868,-87.6386,2025-04-05 17:16:44,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8721&lon=-87.6578,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60607,41.8721,-87.6578,2025-04-05 17:16:44,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8515&lon=-87.6694,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60608,41.8515,-87.6694,2025-04-05 17:16:45,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8097&lon=-87.6533,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60609,41.8097,-87.6533,2025-04-05 17:16:45,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9033&lon=-87.6336,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60610,41.9033,-87.6336,2025-04-05 17:16:46,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8971&lon=-87.6223,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60611,41.8971,-87.6223,2025-04-05 17:16:47,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8805&lon=-87.6873,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60612,41.8805,-87.6873,2025-04-05 17:16:48,Mixed/Unknown,1.0,Normal
