Temperature,Condition,Humidity,Wind Speed,Barometer,Dewpoint,Visibility,Heat Index,Last update,ZIP Code,City,State,Latitude,Longitude,Vegetation Estimate,Dryness Score,Dryness Level,Wind Chill
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35004,Moody,Alabama,33.6035,-86.4668,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35005,Adamsville,Alabama,33.5884,-86.9597,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35006,Adger,Alabama,33.4343,-87.1675,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35007,Alabaster,Alabama,33.1934,-86.7944,Mixed/Unknown,2.0,Normal,
83.0,Fair,60.0,6.0,29.98,67.0,10.0,86°F (30°C),5 Apr 7:55 pm CDT,35010,Alexander City,Alabama,32.9164,-85.9368,Mixed/Unknown,2.0,Normal,
80.0,Fair,56.0,9.0,29.94,63.0,10.0,81°F (27°C),5 Apr 7:56 pm CDT,35013,Allgood,Alabama,33.9222,-86.4493,Mixed/Unknown,2.0,Normal,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35014,Alpine,Alabama,33.404,-86.2339,Mixed/Unknown,3.0,Dry,
79.0,Partly Cloudy,61.0,9.0,29.93,64.0,10.0,81°F (27°C),5 Apr 7:55 pm CDT,35016,Arab,Alabama,34.3283,-86.4896,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35019,Baileyton,Alabama,34.2683,-86.6213,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35020,Bessemer,Alabama,33.409,-86.9475,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35022,Bessemer,Alabama,33.3224,-86.9657,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35023,Bessemer,Alabama,33.468,-87.0924,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35031,Blountsville,Alabama,34.0929,-86.5686,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35032,Bon Air,Alabama,33.2649,-86.3364,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35033,Bremen,Alabama,33.9737,-87.0043,Mixed/Unknown,3.0,Dry,
